,Indoor unit cooling state 0,Indoor unit cooling state 1,Indoor unit cooling state 2,Indoor unit cooling state 3,Indoor unit cooling state 4,Indoor unit cooling state 5,Indoor unit cooling state 6,Indoor temperature 0,Indoor temperature 1,Indoor temperature 2,Indoor temperature 3,Indoor temperature 4,Indoor temperature 5,Indoor temperature 6,Compressor frequency 1,Compressor frequency 2,Outdoor unit Condensing temperature,diff(Outdoor unit power),Outdoor unit Evaporating temperature,Outdoor unit fan speed,Compressor discharge pressure,Compressor suction pressure,Outdoor dry bulb temperature,Cooling capacity,delete1
2022-07-30 13:30:00,14.444444444444445,93.36363636363636,77.63636363636364,21.666666666666668,10.833333333333334,15.833333333333334,10.833333333333334,27.311111111111114,22.727272727272734,22.481818181818184,25.316666666666666,24.54166666666666,25.5,28.233333333333338,48.111111111111114,12.88888888888889,32.77777777777778,4.0,1.9444444444444444,230.88888888888889,1.911111111111111,0.7555555555555555,26.2,18.608729059999998,False
2022-07-30 13:45:00,0.0,89.78571428571429,69.07692307692308,0.0,0.0,61.583333333333336,0.0,26.69166666666666,22.542857142857137,22.415384615384614,24.833333333333332,24.759999999999998,25.524999999999995,27.872727272727275,62.72727272727273,0.0,32.72727272727273,5.600000000000364,0.8636363636363636,349.8181818181818,1.8909090909090909,0.7245454545454545,27.333333333333332,19.59855506,False
2022-07-30 14:00:00,0.0,105.6875,96.53333333333333,0.0,58.214285714285715,60.375,0.0,26.14166666666667,22.606250000000003,22.439999999999998,24.933333333333334,24.6,25.318749999999998,27.04166666666666,56.3,12.0,33.7,4.079999999999927,3.55,283.1,1.9299999999999997,0.8039999999999999,26.866666666666664,22.703181830000002,False
2022-07-30 14:15:00,0.0,128.26666666666668,92.21428571428571,0.0,62.69230769230769,32.46153846153846,0.0,26.43,22.59333333333333,22.557142857142853,24.909999999999997,24.546153846153842,25.47692307692308,27.20909090909091,55.2,6.1,34.1,4.479999999999563,3.3,321.8,1.97,0.795,27.266666666666666,18.297696209999998,False
2022-07-30 14:30:00,0.0,85.54545454545455,88.9375,0.0,40.92857142857143,42.2,0.0,26.825,22.918181818181814,22.587500000000006,24.90909090909091,24.514285714285712,25.493333333333332,27.549999999999997,60.333333333333336,2.111111111111111,31.88888888888889,4.880000000000109,1.5,379.77777777777777,1.8555555555555554,0.7455555555555556,27.03333333333333,18.565479800000002,False
2022-07-30 14:45:00,13.0,86.25,82.3076923076923,17.727272727272727,11.818181818181818,66.16666666666667,13.0,27.209999999999997,22.441666666666666,22.407692307692308,24.53636363636364,24.61818181818182,25.516666666666662,28.02,54.9,11.9,34.2,4.400000000000546,2.75,294.8,1.97,0.7790000000000001,26.633333333333336,21.031149369999998,False
2022-07-30 15:00:00,0.0,96.92857142857143,53.785714285714285,4.642857142857143,5.909090909090909,60.642857142857146,5.909090909090909,27.29,22.578571428571426,22.542857142857144,24.78571428571428,24.209090909090914,25.40714285714285,28.44545454545455,38.77777777777778,0.0,33.77777777777778,4.319999999999709,4.555555555555555,174.22222222222223,1.9555555555555557,0.8311111111111111,26.900000000000002,12.65621402,False
2022-07-30 15:15:00,0.0,81.14285714285714,97.0,0.0,0.0,52.09090909090909,0.0,26.827272727272724,22.55,22.246153846153845,25.507142857142856,24.577777777777772,25.527272727272734,28.000000000000004,51.111111111111114,0.0,34.333333333333336,3.880000000000109,4.444444444444445,250.88888888888889,2.0,0.8255555555555556,26.733333333333334,16.81720318,False
2022-07-30 15:30:00,0.0,107.13333333333334,78.92307692307692,0.0,0.0,32.46153846153846,0.0,26.381818181818186,22.48,22.592307692307696,24.60909090909091,24.8,25.45384615384615,27.436363636363637,43.5,0.0,32.3,3.0799999999999272,4.0,232.8,1.8699999999999999,0.8140000000000001,26.266666666666666,14.49188934,False
2022-07-30 15:45:00,0.0,96.1875,90.57142857142857,0.0,0.0,51.07692307692308,0.0,26.39166666666667,22.593749999999993,22.364285714285717,24.572727272727267,24.870000000000005,25.50769230769231,27.263636363636365,44.3,0.0,35.2,3.3599999999996726,2.9,175.8,2.0500000000000003,0.7869999999999999,26.333333333333332,12.67478828,False
2022-07-30 16:00:00,0.0,96.13333333333334,77.4,0.0,38.36363636363637,40.25,0.0,26.672727272727272,22.480000000000004,22.46,24.6,24.636363636363637,25.441666666666666,28.100000000000005,42.81818181818182,3.1818181818181817,33.27272727272727,3.3200000000006185,2.4545454545454546,287.27272727272725,1.9272727272727268,0.7718181818181818,26.433333333333334,13.31888753,False
2022-07-30 16:15:00,0.0,59.11764705882353,43.0,0.0,0.0,48.266666666666666,0.0,26.991666666666664,22.582352941176477,22.47142857142857,24.44545454545455,24.474999999999998,25.333333333333332,28.346153846153843,40.55555555555556,3.888888888888889,32.666666666666664,3.199999999999818,0.5,215.11111111111111,1.8888888888888888,0.7222222222222222,26.566666666666666,15.0179293,False
2022-07-30 16:30:00,23.636363636363637,93.35714285714286,59.2,27.083333333333332,23.636363636363637,35.84615384615385,23.636363636363637,27.381818181818186,22.421428571428574,22.493333333333336,24.74166666666667,24.46363636363636,25.430769230769233,28.518181818181816,42.81818181818182,5.454545454545454,34.90909090909091,3.399999999999636,2.1363636363636362,186.9090909090909,2.0363636363636366,0.7609090909090909,26.333333333333332,16.03339226,False
2022-07-30 16:45:00,0.0,92.64285714285714,87.91666666666667,0.0,0.0,40.92857142857143,0.0,27.218181818181815,22.61428571428571,22.7,25.563636363636363,24.380000000000003,25.407142857142862,28.46666666666667,42.5,0.0,33.5,4.600000000000364,4.45,157.6,1.9600000000000002,0.825,26.766666666666666,14.942463919999998,False
2022-07-30 17:00:00,0.0,96.22222222222223,79.5625,0.0,0.0,41.69230769230769,0.0,26.516666666666666,22.488888888888894,22.474999999999994,24.983333333333334,24.80909090909091,25.43846153846154,27.490909090909096,41.8,0.0,32.9,3.4399999999996,3.35,172.7,1.9000000000000004,0.795,26.600000000000005,14.60283591,False
2022-07-30 17:15:00,0.0,85.92307692307692,88.85714285714286,0.0,0.0,52.75,0.0,26.229999999999997,22.492307692307694,22.507142857142856,24.509999999999998,24.80909090909091,25.583333333333332,26.933333333333337,44.5,0.0,33.8,2.880000000000109,4.55,217.9,1.9599999999999997,0.8319999999999999,26.666666666666668,14.548639130000002,False
2022-07-30 17:30:00,0.0,105.6470588235294,75.2,0.0,0.0,60.36363636363637,0.0,26.536363636363635,22.41176470588235,22.40666666666667,24.553846153846152,24.784615384615385,25.427272727272733,27.129999999999995,50.1,0.0,34.9,3.5200000000004366,2.45,223.5,2.02,0.772,26.900000000000002,17.604641009999998,False
2022-07-30 17:45:00,0.0,110.0,58.4375,0.0,0.0,30.166666666666668,0.0,26.727272727272723,22.452941176470592,22.556250000000006,24.529999999999998,24.781818181818185,25.433333333333326,27.440000000000005,36.22222222222222,0.0,32.666666666666664,3.3599999999996726,4.0,160.0,1.9000000000000001,0.8166666666666667,26.633333333333336,13.21796775,False
2022-07-30 18:00:00,0.0,101.35714285714286,89.71428571428571,0.0,36.642857142857146,67.3076923076923,0.0,27.049999999999997,22.664285714285718,22.47857142857143,24.61818181818182,24.578571428571426,25.484615384615388,27.863636363636363,43.2,0.0,33.3,2.6400000000003274,4.45,213.5,1.9300000000000002,0.8319999999999999,26.666666666666668,14.099314390000002,False
2022-07-30 18:15:00,10.833333333333334,67.92307692307692,57.785714285714285,21.666666666666668,10.833333333333334,36.0,10.833333333333334,27.383333333333336,22.615384615384617,22.371428571428574,24.558333333333334,24.10833333333333,25.066666666666666,28.350000000000005,39.4,11.6,33.4,4.1599999999998545,2.2,207.5,1.95,0.7599999999999999,26.566666666666663,16.527190590000004,False
2022-07-30 18:30:00,0.0,82.6470588235294,71.07142857142857,0.0,0.0,44.07692307692308,0.0,27.045454545454547,22.576470588235296,22.421428571428574,25.558333333333326,24.560000000000002,25.423076923076923,28.227272727272723,53.77777777777778,0.0,34.0,3.639999999999418,2.7222222222222223,200.0,1.966666666666667,0.7777777777777777,26.566666666666666,16.87713644,False
2022-07-30 18:45:00,0.0,104.35714285714286,81.15384615384616,0.0,0.0,35.166666666666664,0.0,26.259999999999998,22.442857142857143,22.492307692307698,24.527272727272724,24.8,25.474999999999998,27.4,44.111111111111114,6.777777777777778,34.888888888888886,3.7600000000002183,1.9444444444444444,245.44444444444446,2.011111111111111,0.7666666666666666,26.733333333333334,14.063875119999999,False
2022-07-30 19:00:00,0.0,50.333333333333336,0.0,0.0,0.0,0.0,0.0,25.727272727272723,23.333333333333332,23.745454545454546,25.527272727272727,25.763636363636365,26.175,26.279999999999994,3.1,0.0,24.6,2.0399999999999636,16.45,24.1,1.53,1.2200000000000002,26.899999999999995,1.4989119039999999,False
2022-07-31 00:00:00,0.0,105.26666666666667,107.53333333333333,62.76923076923077,86.61111111111111,104.57142857142857,114.5625,28.969230769230766,25.7,26.10666666666667,26.46153846153846,26.66666666666667,28.36428571428571,27.150000000000002,52.90909090909091,32.45454545454545,31.818181818181817,1.0,11.636363636363637,610.5454545454545,1.8545454545454545,1.0736363636363635,27.566666666666666,39.8103562,False
2022-07-31 00:15:00,0.0,89.18181818181819,83.06666666666666,0.0,0.0,86.57142857142857,49.30769230769231,27.709090909090904,22.736363636363635,22.45333333333333,24.318181818181824,24.64545454545454,25.32857142857143,24.46923076923077,64.22222222222223,7.888888888888889,31.11111111111111,9.0,3.7777777777777777,768.5555555555555,1.8222222222222224,0.8033333333333332,27.599999999999998,26.58999356,False
2022-07-31 00:30:00,0.0,82.72727272727273,76.4,0.0,0.0,32.13333333333333,44.266666666666666,27.353846153846156,22.490909090909092,22.43333333333333,24.741666666666664,24.75,25.686666666666667,24.18666666666667,62.45454545454545,0.0,31.545454545454547,5.360000000000582,4.090909090909091,591.8181818181819,1.8181818181818181,0.8136363636363636,27.666666666666668,23.06669455,False
2022-07-31 00:45:00,0.0,68.72727272727273,75.35714285714286,0.0,44.07692307692308,60.15384615384615,30.166666666666668,27.125,22.5,22.47142857142857,24.64545454545454,24.361538461538462,25.46153846153846,24.283333333333335,53.6,0.0,31.9,4.759999999999309,4.7,456.4,1.8700000000000003,0.8290000000000001,27.7,21.021873640000003,False
2022-07-31 01:00:00,0.0,78.07142857142857,76.92857142857143,0.0,67.84615384615384,81.1875,40.266666666666666,26.981818181818184,23.13571428571429,22.900000000000002,24.755555555555556,24.5,25.787499999999998,24.18,32.90909090909091,0.0,29.818181818181817,2.160000000000764,13.045454545454545,303.27272727272725,1.763636363636364,1.0990909090909093,27.733333333333334,16.1001577,False
2022-07-31 01:15:00,0.0,89.07692307692308,66.61538461538461,0.0,12.0,71.27272727272727,54.90909090909091,26.840000000000003,23.05384615384615,22.792307692307695,24.650000000000002,24.619999999999997,25.372727272727275,24.5,22.875,7.625,29.625,3.4799999999995634,13.875,410.0,1.7625,1.13125,27.8,15.45452961,False
2022-07-31 01:30:00,18.571428571428573,90.26666666666667,67.84615384615384,23.636363636363637,45.18181818181818,42.166666666666664,35.84615384615385,26.20714285714286,22.546666666666667,22.261538461538464,23.527272727272727,23.936363636363637,25.566666666666674,24.207692307692305,42.6,18.6,32.8,5.0,4.85,433.6,1.8800000000000001,0.841,27.8,22.82292162,False
2022-07-31 01:45:00,0.0,90.29411764705883,93.21428571428571,0.0,0.0,64.4,30.142857142857142,26.25384615384615,22.61176470588235,22.23571428571429,24.74545454545455,24.560000000000002,25.44,24.14285714285714,58.5,13.9,34.0,3.680000000000291,0.9,352.6,1.98,0.73,27.866666666666664,19.52441009,False
2022-07-31 02:00:00,0.0,87.6875,74.8,0.0,0.0,44.0,32.90909090909091,26.300000000000004,22.48125,22.326666666666668,24.29,24.78,25.318181818181817,24.39090909090909,48.0,9.5,33.6,4.279999999999745,0.6,310.6,1.94,0.7230000000000001,28.0,15.41197501,False
2022-07-31 02:15:00,0.0,75.88235294117646,60.285714285714285,0.0,45.214285714285715,44.07692307692308,44.07692307692308,26.34166666666667,22.729411764705883,22.485714285714288,24.541666666666668,24.557142857142857,25.453846153846158,24.353846153846156,48.0,3.6,33.4,4.079999999999927,-0.7,292.9,1.94,0.7110000000000001,27.933333333333334,14.05439479,False
2022-07-31 02:30:00,0.0,91.38461538461539,100.38461538461539,0.0,0.0,48.69230769230769,40.166666666666664,26.37272727272727,22.707692307692305,22.49230769230769,24.5,24.488888888888887,25.546153846153842,24.50833333333333,43.3,3.9,35.0,4.520000000000437,4.1,248.8,2.0200000000000005,0.829,27.899999999999995,16.761146840000002,False
2022-07-31 02:45:00,0.0,115.3157894736842,63.5625,0.0,4.285714285714286,62.1875,40.92857142857143,26.346153846153847,22.442105263157895,22.500000000000004,24.584615384615383,24.75,25.44375,24.37142857142857,43.0,9.0,34.0,3.319999999999709,2.0,291.8,1.9600000000000002,0.765,27.8,18.135116319999998,False
2022-07-31 03:00:00,25.0,104.61538461538461,81.58333333333333,29.545454545454547,58.3,23.636363636363637,43.27272727272727,26.269230769230774,22.476923076923075,22.483333333333334,24.727272727272727,24.09,25.090909090909086,23.890909090909087,45.9,17.8,34.6,5.1599999999998545,3.75,293.0,2.0,0.808,27.733333333333334,22.69637671,False
2022-07-31 03:15:00,0.0,76.25,53.42857142857143,0.0,0.0,56.5,22.785714285714285,26.0,22.58125,22.435714285714287,25.515384615384615,24.43846153846154,25.6125,24.28571428571429,44.0,9.727272727272727,34.0,3.600000000000364,1.8636363636363635,277.1818181818182,1.9727272727272729,0.77,27.633333333333336,15.91326067,False
2022-07-31 03:30:00,0.0,88.64285714285714,78.92307692307692,0.0,0.0,48.69230769230769,20.846153846153847,26.159999999999997,22.6,22.399999999999995,24.391666666666666,24.636363636363637,25.438461538461542,24.361538461538466,51.5,0.0,34.9,4.559999999999491,1.05,243.8,2.0000000000000004,0.7449999999999999,27.666666666666668,14.8864448,False
2022-07-31 03:45:00,0.0,119.5,75.05555555555556,0.0,0.0,32.76923076923077,41.18181818181818,26.2076923076923,22.394444444444442,22.627777777777776,24.584615384615383,24.866666666666664,25.369230769230764,23.9,59.45454545454545,3.727272727272727,34.63636363636363,4.5600000000004,1.1363636363636365,298.1818181818182,1.9909090909090912,0.7372727272727272,27.600000000000005,17.409901840000003,False
2022-07-31 04:00:00,0.0,98.0,82.25,0.0,0.0,44.07692307692308,47.75,26.28181818181819,22.5625,22.44375,24.59090909090909,24.89166666666667,25.43846153846154,24.241666666666664,50.888888888888886,6.222222222222222,35.0,4.319999999999709,1.1111111111111112,237.33333333333334,2.022222222222222,0.75,27.53333333333333,15.930881730000001,False
2022-07-31 04:15:00,0.0,117.375,48.07142857142857,0.0,0.0,33.785714285714285,36.13333333333333,26.29166666666667,22.3375,22.392857142857142,24.55,24.818181818181813,25.39285714285714,24.399999999999995,56.9,7.2,34.1,4.0,0.35,304.1,1.9699999999999995,0.717,27.53333333333333,20.54027218,False
2022-07-31 04:30:00,16.25,68.42857142857143,56.23076923076923,17.727272727272727,14.444444444444445,14.444444444444445,14.444444444444445,25.966666666666665,22.442857142857143,22.092307692307692,24.218181818181815,24.066666666666674,24.9,24.144444444444442,39.1,9.2,34.2,5.5600000000004,3.45,192.2,1.9800000000000004,0.799,27.46666666666667,16.85983437,False
2022-07-31 04:45:00,0.0,112.92307692307692,59.53333333333333,0.0,0.0,30.142857142857142,30.142857142857142,26.016666666666666,22.592307692307692,22.566666666666666,24.37692307692308,24.56923076923077,25.514285714285712,24.299999999999994,46.54545454545455,8.545454545454545,33.90909090909091,2.9200000000000728,1.0454545454545454,278.54545454545456,1.9545454545454548,0.7472727272727273,27.5,19.18148159,False
2022-07-31 05:00:00,0.0,72.4,46.733333333333334,0.0,0.0,38.714285714285715,30.2,26.172727272727265,22.59333333333333,22.44,24.516666666666666,24.79090909090909,25.47857142857143,24.226666666666663,51.9,0.0,35.2,4.4399999999996,3.0,250.2,2.03,0.7939999999999999,27.5,18.78675059,False
2022-07-31 05:15:00,0.0,92.57894736842105,67.0,0.0,0.0,40.13333333333333,0.0,26.199999999999992,22.505263157894735,22.55,24.525000000000002,24.808333333333334,25.593333333333337,24.184615384615388,54.36363636363637,0.0,33.27272727272727,4.4399999999996,1.3636363636363635,268.09090909090907,1.9454545454545455,0.7381818181818182,27.46666666666667,18.546711159999997,False
2022-07-31 05:30:00,0.0,105.84615384615384,91.61538461538461,0.0,0.0,38.36363636363637,45.3,26.23,22.523076923076925,22.423076923076923,24.518181818181816,24.810000000000002,25.481818181818184,23.96,54.2,5.7,35.0,4.039999999999964,0.2,314.7,2.02,0.726,27.399999999999995,19.819528169999998,False
2022-07-31 05:45:00,0.0,102.125,78.8,0.0,43.07692307692308,51.714285714285715,58.214285714285715,26.25,22.45,22.499999999999996,24.525000000000002,24.423076923076923,25.421428571428574,24.3,51.90909090909091,4.181818181818182,34.63636363636363,4.080000000000837,2.8636363636363638,267.0,1.9818181818181815,0.7827272727272727,27.333333333333332,20.68238084,False
2022-07-31 06:00:00,27.083333333333332,76.06666666666666,59.07692307692308,32.5,26.0,38.44444444444444,19.5,26.183333333333334,22.453333333333333,22.16923076923077,24.425,24.04,24.66666666666667,24.029999999999998,49.7,17.9,34.9,4.239999999999782,0.95,251.7,2.0300000000000002,0.726,27.333333333333332,21.955122069999998,False
2022-07-31 06:15:00,0.0,111.66666666666667,72.85714285714286,0.0,0.0,47.75,22.583333333333332,25.808333333333337,22.486666666666668,22.599999999999998,24.207692307692305,24.390909090909087,25.391666666666666,24.675,54.63636363636363,0.0,35.45454545454545,4.319999999999709,3.3636363636363638,250.0,2.045454545454546,0.7954545454545454,27.433333333333334,18.32852377,False
2022-07-31 06:30:00,0.0,84.4,83.3076923076923,0.0,0.0,22.583333333333332,13.727272727272727,26.099999999999998,22.546666666666674,22.47692307692308,24.43,24.754545454545454,25.49166666666667,23.736363636363638,58.44444444444444,0.0,32.77777777777778,4.039999999999964,1.6666666666666667,319.55555555555554,1.9111111111111114,0.7511111111111111,27.566666666666666,20.36216907,False
2022-07-31 06:45:00,0.0,113.5625,73.9375,0.0,0.0,42.75,51.07692307692308,26.150000000000002,22.437499999999996,22.525000000000002,24.433333333333334,24.724999999999998,25.53333333333333,24.5,38.6,10.0,32.8,3.0799999999999272,1.5,263.9,1.92,0.7669999999999999,27.600000000000005,16.76915617,False
2022-07-31 07:00:00,0.0,84.4,93.08333333333333,0.0,0.0,39.46153846153846,32.46153846153846,26.169999999999995,22.54,22.375,24.46,24.754545454545454,25.346153846153847,24.307692307692307,49.5,8.4,34.5,4.239999999999782,0.6,267.9,2.0,0.725,27.7,19.62008822,False
2022-07-31 07:15:00,0.0,100.91666666666667,70.42857142857143,0.0,0.0,44.266666666666666,40.92857142857143,26.209999999999997,22.75,22.7,24.57,24.91818181818182,25.56,24.428571428571427,38.09090909090909,0.0,35.0,3.5200000000004366,5.636363636363637,179.54545454545453,2.0363636363636357,0.8690909090909091,28.0,14.285849259999999,False
2022-07-31 07:30:00,27.083333333333332,84.92857142857143,90.46153846153847,23.636363636363637,19.5,66.58333333333333,13.0,26.250000000000004,22.4,22.461538461538456,24.62727272727273,24.71,25.09166666666667,24.24,51.8,15.2,35.6,4.720000000000255,0.65,316.2,2.04,0.7310000000000001,28.333333333333332,21.41139288,False
2022-07-31 07:45:00,0.0,94.6923076923077,56.0,0.0,0.0,51.714285714285715,34.42857142857143,25.966666666666672,22.715384615384615,22.55,24.583333333333332,24.30909090909091,25.242857142857144,24.550000000000004,44.9,0.0,33.9,4.039999999999964,4.6,243.9,1.9600000000000002,0.8379999999999999,28.5,16.87470086,False
2022-08-23 16:15:00,,,,,,,,,,,,,,,,,,2.7999999999992724,,,,,,,False
